percentiles	scores
1	380.5
2	513
3	565
4	641
5	774
6	875.5
7	919
8	1077.5
9	1274.5
10	1337
11	1370
12	1401
13	1460.5
14	1539
15	1592.5
16	1666
17	1863
18	1930
19	2016
20	2110.5
21	2150
22	2235.5
23	2256
24	2264.5
25	2271
26	2278.5
27	2288.5
28	2307.5
29	2511
30	2537
31	2553.5
32	2568
33	2582.5
34	2596
35	2609
36	2621.5
37	2635.5
38	2655.5
39	2693.5
40	2891
41	2894.5
42	2896.5
43	2898
44	2899.5
45	2901
46	2902.5
47	2904
48	2905.5
49	2912
50	3097
51	3128.5
52	3183.5
53	3376
54	3426
55	3560.5
56	3597
57	3692
58	3952.5
59	3980.5
60	4003.5
61	4121
62	4263.5
63	4304
64	4327
65	4341
66	4355
67	4367.5
68	4380.5
69	4401
70	4672.5
71	4731
72	4789
73	5230
74	5287.5
75	5634.5
76	5734
77	5760
78	5800
79	5848
80	5893.5
81	6034
82	6091
83	6358
84	6568.5
85	6635
86	6643.5
87	6651
88	6658
89	6667.5
90	6736
91	6783.5
92	7200
93	7499
94	7542.5
95	7793
96	8687
97	9065
98	9579
99	10475.5
100	16052.5
